Customer_ID,Gender,Age,Region,Product_Category,Units_Purchased,Price_Per_Unit,Purchase_Date,Total_Amount
CUST1051,male,58.0,EAST,Furniture,3,8.44,2024-12-31,25.32
CUST1003,female,56.0,South ,Clothing,3,54.49,2024-10-29,163.47
CUST1131,M,47.0,South ,Clothing,4,91.79,02/06/2024,367.16
CUST1082,male,65.0,North,Furniture,9,333.43,2024-07-25,3000.87
CUST1141,Male,50.0,East,Sports,3,411.22,2024-02-17,1233.66
CUST1058,Male,54.0,EAST,Sports,1,498.88,06/02/2024,498.88
CUST1031,F,59.0,East,Furniture,7,327.28,2024-03-11,4581.92
CUST1034,F,40.0,north,Clothing,8,334.63,2024-07-16,2677.04
CUST1112,Female,45.0,West,Electronics,2,51.52,2024-04-01,103.04
CUST1125,female,18.0,EAST,Sports,2,123.69,2024-08-11,247.38
CUST1028,F,25.0,West,Books,8,11.97,14/03/2024,95.76
CUST1135,F,,South ,Grocery,4,190.43,2024-11-11,761.72
CUST1092,M,44.0,North,Furniture,2,178.29,2024-07-08,356.58
CUST1120,M,33.0,East,Clothing,2,260.57,2024-05-22,521.14
CUST1105,Male,44.0,South ,Grocery,2,164.66,2024-10-06,329.32
CUST1022,F,53.0,West,Beauty,8,287.37,2024-11-23,2298.96
CUST1097,Female,58.0,East,Beauty,5,464.52,2024-11-05,2322.6
CUST1110,Male,62.0,East,Toys,4,326.73,2024-11-13,
CUST1108,Male,43.0,East,Sports,3,131.82,2024-01-21,395.46
CUST1008,Female,38.0,South ,Toys,1,155.6,2024-06-23,155.6
CUST1062,F,61.0,South,Clothing,6,124.82,2024-02-19,748.92
CUST1115,Female,59.0,EAST,Clothing,6,155.12,2024-07-14,930.72
CUST1036,M,52.0,north,Electronics,1,194.55,2024-12-14,291.83
CUST1106,Male,57.0,EAST,Sports,1,72.63,2024-10-25,72.63
CUST1011,M,69.0,EAST,Sports,9,27.99,2024-11-05,251.91
CUST1148,F,67.0,South,Grocery,-8,368.86,2024-12-22,2950.88
CUST1072,Female,28.0,South,Toys,9,,05/09/2024,550.53
CUST1150,Female,54.0,EAST,Clothing,9,286.42,2024-08-21,2577.78
CUST1134,Female,27.0,South,Toys,6,319.37,2024-12-06,1916.22
CUST1094,female,65.0,East,Electronics,3,288.14,07/12/2024,864.42
CUST1032,male,45.0,West,Clothing,7,425.77,2024-01-25,2980.39
CUST1017,Female,25.0,EAST,Clothing,3,455.11,2024-07-13,1365.33
CUST1065,female,69.0,South ,Clothing,2,318.6,2024-02-01,637.2
CUST1002,Female,60.0,South,Grocery,8,301.34,2024-02-22,2410.72
CUST1049,female,56.0,West,Grocery,1,139.71,2024-05-15,139.71
CUST1084,male,35.0,North,Clothing,2,347.49,2024-08-02,694.98
CUST1147,Female,24.0,,Electronics,4,347.98,2024-02-24,1391.92
CUST1076,F,29.0,South ,Books,5,450.71,2024-03-20,2253.55
CUST1100,F,38.0,East,Electronics,7,137.9,2024-02-17,965.3
CUST1088,female,25.0,East,Books,7,361.87,2024-06-10,2533.09
CUST1010,Male,59.0,North,Toys,3,194.32,2024-02-19,582.96
CUST1145,F,43.0,South ,Furniture,-8,,2024-12-22,1566.16
CUST1005,Female,57.0,South,Electronics,8,327.19,2024-10-14,2617.52
CUST1039,,56.0,West,Electronics,9,356.78,2024-05-14,3211.02
CUST1079,Male,50.0,North,Books,8,426.21,2024-09-14,3409.68
CUST1074,Female,33.0,West,Electronics,9,260.73,18/07/2024,2346.57
CUST1132,male,33.0,East,Toys,5,239.37,2024-06-16,1196.85
CUST1035,F,61.0,north,Books,8,,2024-09-27,1127.92
CUST1113,female,40.0,East,Toys,6,167.44,2024-12-08,1004.64
CUST1057,female,56.0,North,Furniture,2,357.57,2024-02-04,715.14
CUST1070,F,69.0,EAST,Clothing,9,347.01,2024-01-26,3123.09
CUST1045,Male,24.0,North,Sports,3,84.8,2024-06-06,254.4
CUST1020,M,21.0,South ,Clothing,6,20.5,2024-11-07,123.0
CUST1007,F,55.0,,Beauty,2,95.0,2024-01-04,285.0
CUST1056,Female,66.0,North,Clothing,4,127.2,2024-12-28,508.8
CUST1076,F,29.0,South ,Books,5,450.71,2024-03-20,2253.55
CUST1001,female,56.0,North,Electronics,4,475.6,2024-05-20,3804.8
CUST1136,male,,East,Toys,1,271.99,07/10/2024,271.99
CUST1128,female,22.0,West,Electronics,6,366.37,2024-09-23,2198.22
CUST1069,M,36.0,West,Furniture,4,324.36,2024-02-08,1297.44
CUST1137,Male,62.0,East,Beauty,4,309.85,2024-04-17,1239.4
CUST1043,M,40.0,EAST,Grocery,7,208.14,2024-10-03,1456.98
CUST1111,female,63.0,South,Furniture,3,172.31,2024-03-24,516.93
CUST1090,male,39.0,North,Clothing,6,489.55,2024-10-02,2937.3
CUST1073,F,40.0,South,Toys,3,118.13,2024-01-31,354.39
CUST1024,M,35.0,EAST,Electronics,5,295.44,2024-04-27,1477.2
CUST1143,Female,57.0,South,Electronics,2,24.29,2024-01-24,48.58
CUST1093,,50.0,South,Books,1,101.65,2024-10-05,101.65
CUST1104,female,64.0,West,Electronics,6,182.53,2024-02-27,1095.18
CUST1099,female,50.0,South ,Beauty,4,150.75,2024-09-15,603.0
CUST1068,F,53.0,South,Toys,3,357.02,2024-04-03,1071.06
CUST1026,M,62.0,North,Furniture,1,12.74,2024-10-17,12.74
