Survey_ID,Customer_ID,Store_Location,Visit_Date,Purchase_Amount,Wait_Time_Min,Staff_Rating,Product_Rating,Cleanliness_Rating,Recommend,Total_Rating
SUR5150,CUST3150,Uptown,2024-12-09,158.52,7.9,5.0,4.0,4.0,Yes,4.33
SUR5029,CUST3029,Uptown,2024-11-02,291.84,5.4,4.0,5.0,4.0,no,4.33
SUR5005,CUST3005,downtown,2024-06-13,435.32,3.3,4.0,2.0,3.0,N,3.0
SUR5032,CUST3032,Uptown,2024-02-05,347.0,,5.0,4.0,3.0,Yes,4.0
SUR5149,CUST3149,Downtown,2024-09-29,31.78,2.0,5.0,5.0,3.0,Y,4.33
SUR5040,CUST3040,Downtown,2024-12-19,571.36,19.4,4.0,4.0,5.0,Yes,4.33
SUR5135,CUST3135,Riverside,2024-05-04,388.5,26.4,3.0,5.0,3.0,Y,3.67
SUR5144,CUST3144,,2024-08-01,262.52,10.1,4.0,5.0,5.0,Y,4.67
SUR5107,CUST3107,UPTOWN,2024-08-20,584.95,8.7,4.0,5.0,4.0,no,4.33
SUR5095,CUST3095,Uptown,2024-06-18,87.96,11.9,3.0,5.0,5.0,No,4.33
SUR5098,CUST3098,UPTOWN,2024-03-07,589.62,10.6,4.0,4.0,4.0,Y,4.0
SUR5140,CUST3140,Riverside,2024-01-15,528.41,15.8,4.0,1.0,5.0,yes,3.33
SUR5076,CUST3076,UPTOWN,2024-08-18,497.06,31.9,5.0,3.0,2.0,yes,3.33
SUR5104,CUST3104,Uptown,2024-06-08,24.91,7.4,4.0,3.0,5.0,N,4.0
SUR5034,CUST3034,UPTOWN,2024-07-04,483.83,7.7,4.0,5.0,3.0,Yes,4.0
SUR5099,CUST3099,Mall Plaza,2024-07-16,368.85,13.3,5.0,3.0,4.0,Y,4.0
SUR5102,CUST3102,UPTOWN,2024-08-08,485.52,6.0,3.0,1.0,2.0,N,2.0
SUR5113,CUST3113,Mall Plaza,2024-08-05,595.04,6.7,2.0,4.0,2.0,No,2.67
SUR5120,CUST3120,downtown,2024-02-19,227.63,5.2,2.0,4.0,,no,3.67
SUR5129,CUST3129,Riverside,2024-04-09,87.14,7.1,2.0,5.0,5.0,yes,4.0
SUR5048,CUST3048,Riverside,2024-11-14,38.47,15.7,4.0,4.0,5.0,yes,4.33
SUR5123,CUST3123,downtown,2024-10-05,,5.7,4.0,4.0,3.0,no,3.67
SUR5049,CUST3049,downtown,2024-03-29,395.45,2.5,3.0,5.0,2.0,N,3.33
SUR5019,CUST3019,Mall Plaza ,2024-06-04,583.99,2.5,3.0,4.0,4.0,Y,3.67
SUR5044,CUST3044,downtown,2024-09-03,306.72,10.3,1.0,3.0,4.0,no,2.67
SUR5018,CUST3018,Downtown,2024-06-30,178.72,5.4,4.0,5.0,4.0,Y,4.33
SUR5105,CUST3105,Uptown,2024-04-30,127.47,10.0,4.0,2.0,3.0,Y,3.0
SUR5039,CUST3039,Mall Plaza ,2024-11-09,89.35,13.2,4.0,3.0,4.0,no,3.67
SUR5091,CUST3091,UPTOWN,2024-01-22,479.31,16.6,5.0,4.0,4.0,yes,
SUR5026,CUST3026,Downtown,2024-07-28,562.59,10.7,4.0,2.0,4.0,yes,3.33
SUR5020,CUST3020,Uptown,2024-07-18,578.68,18.3,4.0,3.0,5.0,No,4.0
SUR5079,CUST3079,Downtown,2024-03-29,465.3,4.4,3.0,4.0,5.0,no,4.0
SUR5033,CUST3033,Uptown,2024-07-13,154.78,5.2,5.0,5.0,4.0,no,4.67
SUR5073,CUST3073,Riverside,16/06/2024,147.28,4.1,3.0,1.0,4.0,Y,2.67
SUR5069,CUST3069,UPTOWN,2024-09-12,364.99,1.1,4.0,4.0,5.0,yes,4.33
SUR5136,CUST3136,Mall Plaza ,2024-05-23,255.5,2.9,5.0,4.0,1.0,N,3.33
SUR5088,CUST3088,Uptown,2024-08-17,24.84,4.7,5.0,5.0,4.0,Y,4.67
SUR5009,CUST3009,,2024-09-22,223.91,4.3,5.0,1.0,4.0,no,3.33
SUR5004,CUST3004,Mall Plaza,29/11/2024,590.07,18.0,4.0,,4.0,Y,4.0
SUR5002,CUST3002,Mall Plaza,2024-05-21,119.17,1.2,5.0,4.0,4.0,no,4.33
SUR5060,CUST3060,Mall Plaza ,2024-01-06,357.32,8.2,4.0,4.0,3.0,Y,3.67
SUR5100,CUST3100,UPTOWN,2024-02-09,475.62,1.6,5.0,4.0,5.0,Y,4.67
SUR5051,CUST3051,UPTOWN,2024-06-20,22.0,11.0,5.0,2.0,1.0,N,2.67
SUR5148,CUST3148,Mall Plaza,2024-02-01,267.79,7.0,4.0,5.0,4.0,Y,4.33
SUR5054,CUST3054,UPTOWN,2024-11-16,547.66,3.6,1.0,1.0,3.0,N,1.67
SUR5006,CUST3006,,2024-09-03,57.92,25.5,2.0,4.0,5.0,no,3.67
SUR5096,CUST3096,UPTOWN,2024-07-13,410.41,20.9,2.0,1.0,5.0,Yes,2.67
SUR5121,CUST3121,Uptown,2024-04-18,295.85,5.4,3.0,5.0,4.0,Y,4.0
SUR5041,CUST3041,downtown,2024-05-24,564.04,,4.0,4.0,4.0,no,4.0
SUR5065,CUST3065,Downtown,2024-01-11,264.64,10.5,4.0,3.0,3.0,Y,3.33
SUR5139,CUST3139,UPTOWN,2024-11-28,397.22,4.3,3.0,4.0,2.0,yes,3.0
SUR5056,CUST3056,Downtown,2024-05-18,,7.3,5.0,5.0,4.0,Y,4.67
SUR5008,CUST3008,Downtown,2024-06-03,56.63,7.5,,3.0,5.0,no,3.67
SUR5015,CUST3015,,2024-07-06,463.55,15.4,5.0,5.0,4.0,Yes,4.67
SUR5118,CUST3118,Downtown,2024-10-16,230.73,1.7,5.0,5.0,5.0,Y,5.0
SUR5045,CUST3045,Downtown,2024-07-22,515.73,,4.0,5.0,3.0,yes,4.0
SUR5127,CUST3127,Mall Plaza,2024-09-04,529.47,26.4,3.0,5.0,2.0,yes,3.33
SUR5058,CUST3058,Mall Plaza,2024-04-06,245.07,5.5,2.0,3.0,3.0,No,2.67
SUR5011,CUST3011,Mall Plaza ,2024-08-06,361.48,2.4,5.0,4.0,2.0,yes,3.67
SUR5108,CUST3108,Mall Plaza ,2024-07-23,276.94,3.4,4.0,5.0,3.0,Yes,4.0
SUR5090,CUST3090,Mall Plaza ,2024-05-17,340.0,11.4,2.0,4.0,4.0,No,3.33
SUR5141,CUST3141,UPTOWN,2024-02-28,254.57,7.2,3.0,3.0,4.0,No,3.33
SUR5028,CUST3028,Mall Plaza ,2024-11-30,166.07,2.8,5.0,4.0,3.0,no,4.0
SUR5024,CUST3024,Downtown,2024-03-17,524.94,15.0,5.0,4.0,4.0,Yes,4.33
SUR5097,CUST3097,,2024-05-01,368.92,19.8,4.0,4.0,,N,4.33
SUR5080,CUST3080,downtown,07/03/2024,551.75,2.5,5.0,4.0,4.0,No,4.33
SUR5142,CUST3142,UPTOWN,2024-09-20,24.29,7.7,5.0,2.0,4.0,No,3.67
SUR5115,CUST3115,UPTOWN,2024-03-10,542.95,1.5,4.0,5.0,4.0,Y,4.33
SUR5071,CUST3071,UPTOWN,2024-01-04,578.61,10.7,5.0,4.0,4.0,no,4.33
SUR5068,CUST3068,Riverside,2024-07-06,145.41,4.0,3.0,3.0,4.0,Yes,3.33
SUR5019,CUST3019,Mall Plaza ,2024-06-04,583.99,2.5,3.0,4.0,4.0,Y,3.67
SUR5129,CUST3129,Riverside,2024-04-09,87.14,-7.1,2.0,5.0,5.0,yes,4.0
SUR5038,CUST3038,UPTOWN,2024-03-24,342.42,9.2,2.0,3.0,1.0,no,2.0
SUR5075,CUST3075,Riverside,2024-07-17,271.47,3.2,6.0,5.0,5.0,no,4.0
SUR5130,CUST3130,Uptown,2024-01-21,96.59,9.7,5.0,5.0,2.0,No,4.0
SUR5035,CUST3035,Mall Plaza ,2024-05-04,142.62,4.4,4.0,4.0,3.0,Yes,3.67
SUR5133,CUST3133,Riverside,2024-12-19,328.54,40.1,,4.0,5.0,Yes,3.67
SUR5126,CUST3126,Riverside,2024-01-08,269.63,2.2,4.0,1.0,5.0,yes,3.33
SUR5046,CUST3046,UPTOWN,2024-06-15,283.82,,3.0,5.0,4.0,No,4.0
SUR5093,CUST3093,Riverside,2024-02-12,506.91,12.0,1.0,4.0,4.0,Yes,3.0
SUR5110,CUST3110,Riverside,2024-04-21,357.75,,2.0,2.0,3.0,Yes,2.33
SUR5025,CUST3025,Downtown,2024-06-11,,41.6,5.0,4.0,5.0,Yes,4.67
SUR5083,CUST3083,Mall Plaza ,2024-04-30,452.34,6.8,4.0,4.0,3.0,Yes,3.67
SUR5072,CUST3072,UPTOWN,2024-05-28,463.94,-7.9,5.0,4.0,4.0,Y,4.33
SUR5077,CUST3077,Mall Plaza,2024-02-12,485.16,4.7,6.0,5.0,5.0,Y,4.67
SUR5014,CUST3014,Riverside,2024-05-25,286.34,18.9,3.0,5.0,3.0,No,3.67
SUR5082,CUST3082,Uptown,2024-08-23,596.49,2.7,5.0,5.0,4.0,yes,
SUR5092,CUST3092,Mall Plaza,2024-07-20,247.17,2.4,4.0,4.0,3.0,Yes,3.67
SUR5081,CUST3081,UPTOWN,2024-09-03,453.17,3.3,4.0,5.0,4.0,Y,4.33
SUR5106,CUST3106,Mall Plaza ,2024-12-27,79.49,11.5,5.0,,5.0,no,4.33
